Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount,Date,desempleado
IT78748,Oregon,Femal,High School or Below,65033970%,22081,84,12/30/1899,Special Auto,Two-Door Car,451.670309,1/21/1997,FALSE
KY33386,WA,Femal,High School or Below,80073994%,0,112,12/30/1899,Personal Auto,Sports Car,537.6,4/17/1997,TRUE
CO44221,Cali,M,College,29299165%,98473,72,12/30/1899,Personal Auto,Four-Door Car,345.6,10/7/1996,FALSE
LK60013,Oregon,Femal,Bachelor,59695530%,97431,74,12/30/1899,Personal Auto,Four-Door Car,355.2,10/17/1996,TRUE
DE21533,Cali,M,Bachelor,54731599%,93870,69,12/30/1899,Personal Auto,Four-Door Car,331.2,9/23/1996,FALSE
YS94121,Nevada,M,High School or Below,56453967%,50366,72,12/30/1899,Personal Auto,Four-Door Car,428.734656,12/29/1996,TRUE
UK68427,WA,M,High School or Below,63692624%,34498,83,12/30/1899,Personal Auto,Two-Door Car,398.4,11/29/1996,FALSE
TE49565,Oregon,Femal,College,118337673%,16552,103,12/30/1899,Personal Auto,SUV,494.4,3/5/1997,TRUE
RA88421,Oregon,Femal,College,61211079%,26787,77,12/30/1899,Personal Auto,Four-Door Car,369.6,10/31/1996,FALSE
KQ51983,Nevada,M,College,51593697%,0,74,12/30/1899,Personal Auto,Two-Door Car,831.752839,2/5/1998,TRUE
CD88896,Nevada,Femal,High School or Below,25145920%,43860,65,12/30/1899,Corporate Auto,Four-Door Car,156.124914,4/1/1996,FALSE
YV22553,Arizona,M,High School or Below,86686113%,21474,114,2/1/2000,Corporate Auto,SUV,373.428187,11/4/1996,TRUE
WU14435,Cali,M,Bachelor,49609654%,18174,66,12/30/1899,Corporate Auto,Four-Door Car,395.934815,11/26/1996,FALSE
XV84099,Arizona,Femal,Bachelor,55041390%,0,73,12/30/1899,Corporate Auto,Four-Door Car,350.4,10/12/1996,TRUE
RI24911,Arizona,Male,College,75074554%,60920,64,12/30/1899,Personal Auto,Two-Door Car,231.201886,6/15/1996,FALSE
KO26461,Arizona,Male,High School or Below,322698514%,41520,90,12/30/1899,Personal Auto,Four-Door Car,289.904105,8/12/1996,TRUE
HI14283,Oregon,Femal,Bachelor,56570316%,0,152,12/30/1899,Personal Auto,SUV,729.6,10/26/1997,FALSE
PT50227,Arizona,Male,High School or Below,50617579%,0,68,12/30/1899,Personal Auto,Two-Door Car,326.4,9/18/1996,TRUE
BH36570,Cali,Male,Bachelor,59127838%,72208,73,12/30/1899,Personal Auto,Two-Door Car,350.4,10/12/1996,FALSE
TX17484,Cali,Femal,Bachelor,151822798%,53863,63,12/30/1899,Personal Auto,Four-Door Car,105.765111,2/10/1996,TRUE
CT41158,WA,Male,College,107470309%,66446,136,12/30/1899,Corporate Auto,SUV,639.464548,7/28/1997,FALSE
AO87348,WA,Male,College,20506235%,0,61,12/30/1899,Personal Auto,Four-Door Car,292.8,8/15/1996,TRUE
DE55857,WA,Femal,Bachelor,24654449%,64997,63,1/1/2000,Personal Auto,Four-Door Car,383.442328,11/14/1996,FALSE
LF66923,Nevada,Femal,High School or Below,53431213%,64460,66,12/30/1899,Corporate Auto,Two-Door Car,316.8,9/8/1996,TRUE
CN24514,Arizona,Femal,College,81198291%,46618,67,12/30/1899,Personal Auto,Four-Door Car,99.085943,2/4/1996,FALSE
UW32074,Oregon,Femal,College,46052652%,0,64,12/30/1899,Corporate Auto,Four-Door Car,307.2,8/30/1996,TRUE
HP36979,Cali,Male,College,64087856%,49988,84,5/1/2000,Personal Auto,Two-Door Car,566.935022,5/16/1997,FALSE
PP40919,Cali,Femal,College,23765335%,0,91,5/1/2000,Personal Auto,Two-Door Car,436.8,1/6/1997,TRUE
RO73268,Cali,M,Bachelor,32110700%,16269,86,12/30/1899,Corporate Auto,Two-Door Car,412.8,12/13/1996,FALSE
HO61691,Arizona,F,Bachelor,50945223%,72006,64,12/30/1899,Personal Auto,Four-Door Car,307.2,8/30/1996,TRUE
BS13062,Arizona,F,High School or Below,257552782%,0,81,2/1/2000,Personal Auto,Four-Door Car,388.8,11/19/1996,FALSE
FO35655,Oregon,M,Bachelor,86722297%,0,245,12/30/1899,Corporate Auto,Luxury SUV,2345.413441,3/30/2002,TRUE
HR10526,Cali,M,Master,80447307%,44320,67,12/30/1899,Personal Auto,Four-Door Car,321.6,9/13/1996,FALSE
IA63417,Arizona,F,High School or Below,40015191%,19782,108,12/30/1899,Personal Auto,Two-Door Car,773.470977,12/9/1997,TRUE
BH35016,Nevada,F,Bachelor,167061170%,63933,70,12/30/1899,Personal Auto,Two-Door Car,424.883448,12/25/1996,FALSE
PK52952,Arizona,M,Doctor,85444111%,28224,109,12/30/1899,Personal Auto,SUV,523.2,4/3/1997,TRUE
OD76309,WA,F,College,78053129%,21073,106,1/1/2000,Personal Auto,SUV,508.8,3/19/1997,FALSE
IL28481,Oregon,M,Bachelor,61127569%,63243,77,12/30/1899,Personal Auto,Four-Door Car,364.240307,10/26/1996,TRUE
GY55092,Nevada,M,High School or Below,47729438%,20993,133,12/30/1899,Personal Auto,SUV,638.4,7/27/1997,FALSE
UF33451,Oregon,F,Bachelor,109790956%,94827,135,12/30/1899,Personal Auto,SUV,354.729129,10/16/1996,TRUE
CF15558,Cali,F,Master,50042638%,39161,63,1/1/2000,Personal Auto,Two-Door Car,283.995953,8/6/1996,FALSE
JM62924,WA,M,Bachelor,132230438%,37534,84,2/1/2000,Personal Auto,Four-Door Car,403.2,12/4/1996,TRUE
EM66435,Oregon,F,Bachelor,26233154%,80210,65,12/30/1899,Corporate Auto,Four-Door Car,20.543176,11/17/1995,FALSE
QX45933,Cali,M,Bachelor,178401956%,0,62,12/30/1899,Personal Auto,Four-Door Car,385.115437,11/16/1996,TRUE
JI71369,Cali,F,College,51061118%,30110,64,12/30/1899,Personal Auto,Four-Door Car,140.165035,3/16/1996,FALSE
JU93290,Arizona,F,College,179306045%,21708,68,12/30/1899,Personal Auto,Four-Door Car,326.4,9/18/1996,TRUE
GU66096,Arizona,M,High School or Below,54573426%,94731,67,12/30/1899,Personal Auto,Four-Door Car,321.6,9/13/1996,FALSE
UC33108,Cali,M,Bachelor,65636441%,32375,83,12/30/1899,Personal Auto,Four-Door Car,398.4,11/29/1996,TRUE
LW93867,Oregon,M,College,48125252%,16531,63,12/30/1899,Corporate Auto,Four-Door Car,102.879769,2/7/1996,FALSE
OU78470,Arizona,F,Master,293280419%,32006,94,12/30/1899,Corporate Auto,Four-Door Car,56.868289,12/23/1995,TRUE
XW90265,Arizona,F,Bachelor,57735207%,81676,72,12/30/1899,Personal Auto,Two-Door Car,463.158502,2/2/1997,FALSE
HS67749,Cali,M,College,68471189%,71038,86,12/30/1899,Corporate Auto,Four-Door Car,205.444066,5/20/1996,TRUE
VZ51506,Arizona,F,High School or Below,35953129%,0,103,12/30/1899,Corporate Auto,Sports Car,741.6,11/7/1997,FALSE
UI64281,Nevada,F,Master,228556121%,20832,65,12/30/1899,Personal Auto,Two-Door Car,56.371967,12/23/1995,TRUE
AE98193,WA,M,High School or Below,78594146%,0,113,12/30/1899,Personal Auto,SUV,813.6,1/18/1998,FALSE
AZ74055,Oregon,M,High School or Below,41155774%,52405,103,12/30/1899,Personal Auto,Four-Door Car,494.4,3/5/1997,TRUE
XS76911,Arizona,F,High School or Below,50296388%,0,133,12/30/1899,Personal Auto,Sports Car,795.864079,12/31/1997,FALSE
AY40674,WA,F,Bachelor,48214185%,26583,1005,4/1/2000,Personal Auto,SUV,614.4,7/3/1997,TRUE
NA12740,Oregon,M,Master,50043105%,25486,65,12/30/1899,Special Auto,Two-Door Car,72.438681,1/8/1996,FALSE
UA84837,Arizona,M,College,86300539%,24065,111,12/30/1899,Corporate Auto,Four-Door Car,532.8,4/12/1997,TRUE
DJ51510,Arizona,F,High School or Below,93220851%,70435,116,12/30/1899,Personal Auto,Four-Door Car,67.881546,1/3/1996,FALSE
VM58985,Cali,M,College,167275606%,0,76,2/1/2000,Personal Auto,Two-Door Car,402.636829,12/3/1996,TRUE
OH60605,Oregon,F,High School or Below,36525324%,39679,92,12/30/1899,Personal Auto,Two-Door Car,641.388616,7/30/1997,FALSE
UO98052,Nevada,M,College,61586012%,0,89,12/30/1899,Personal Auto,Four-Door Car,342.481173,10/4/1996,TRUE
NC53424,Cali,M,Bachelor,43760840%,0,69,4/1/2000,Personal Auto,Two-Door Car,331.2,9/23/1996,FALSE
LQ13873,Nevada,M,High School or Below,55694562%,53565,71,1/1/2000,Personal Auto,Four-Door Car,340.8,10/2/1996,TRUE
LA97014,WA,M,Bachelor,25765130%,37574,66,1/1/2000,Personal Auto,Two-Door Car,412.101933,12/13/1996,FALSE
NB79936,WA,M,Bachelor,83469832%,48259,108,12/30/1899,Personal Auto,Two-Door Car,73.700573,1/9/1996,TRUE
NT89061,Arizona,F,High School or Below,63239239%,78532,78,12/30/1899,Personal Auto,Four-Door Car,374.4,11/5/1996,FALSE
AF10970,Arizona,F,Bachelor,59731434%,96163,73,12/30/1899,Corporate Auto,Four-Door Car,350.4,10/12/1996,TRUE
ZG48513,Cali,M,Bachelor,47066770%,0,72,12/30/1899,Personal Auto,Four-Door Car,345.6,10/7/1996,FALSE
JQ59145,Cali,Male,High School or Below,80934103%,0,114,1/1/2000,Personal Auto,Sports Car,722.024742,10/19/1997,TRUE
FE84989,WA,Male,College,50357446%,72672,63,12/30/1899,Personal Auto,Four-Door Car,259.361117,7/13/1996,FALSE
JT52858,Oregon,F,Bachelor,90278672%,99002,112,1/1/2000,Personal Auto,Four-Door Car,537.6,4/17/1997,TRUE
MC62068,California,Male,High School or Below,72888848%,79494,91,12/30/1899,Personal Auto,Four-Door Car,396.295614,11/27/1996,FALSE
EU27538,Oregon,Male,Master,180424794%,35704,225,12/30/1899,Personal Auto,Luxury Car,358.281562,10/20/1996,TRUE
RH42306,Arizona,F,Bachelor,49920630%,0,71,12/30/1899,Corporate Auto,Four-Door Car,653.388564,8/11/1997,FALSE
US23612,Oregon,F,High School or Below,91022678%,26049,118,12/30/1899,Personal Auto,Two-Door Car,121.032372,2/26/1996,TRUE
WV76014,Arizona,Male,Doctor,25404077%,70125,64,12/30/1899,Special Auto,Four-Door Car,92.813396,1/28/1996,FALSE
RK96223,California,Male,College,129418919%,52369,110,1/1/2000,Personal Auto,SUV,528,4/8/1997,TRUE
MF82000,WA,female,Bachelor,23653486%,0,66,2/1/2000,Special Auto,Four-Door Car,159.636956,4/4/1996,FALSE
FM46980,Arizona,Male,College,57207651%,41770,72,12/30/1899,Personal Auto,Four-Door Car,476.156957,2/15/1997,TRUE
SY56792,Oregon,Male,High School or Below,70355341%,0,101,12/30/1899,Corporate Auto,Four-Door Car,727.2,10/24/1997,FALSE
RF61565,California,M,College,26369777%,31911,67,12/30/1899,Personal Auto,Four-Door Car,321.6,9/13/1996,TRUE
IM94808,Nevada,M,Bachelor,53958320%,70051,68,12/30/1899,Corporate Auto,Four-Door Car,42.078345,12/9/1995,FALSE
VI14730,Oregon,M,High School or Below,83826301%,19683,117,1/1/2000,Personal Auto,Sports Car,561.6,5/11/1997,TRUE
YR34119,WA,F,College,311617452%,30916,112,12/30/1899,Personal Auto,SUV,200.11606,5/15/1996,FALSE
RR77985,Oregon,F,Bachelor,28877423%,0,80,12/30/1899,Personal Auto,Four-Door Car,676.944023,9/3/1997,TRUE
QD28391,Washington,M,College,74258453%,84302,62,12/30/1899,Personal Auto,Four-Door Car,76.609295,1/12/1996,FALSE
WV17090,California,M,Bachelor,255857278%,0,116,12/30/1899,Corporate Auto,SUV,830.623064,2/4/1998,TRUE
TM23514,Oregon,M,College,102726082%,60145,132,12/30/1899,Personal Auto,SUV,580.473259,5/30/1997,FALSE
MQ68407,Oregon,F,Bachelor,43763636%,63774,111,12/30/1899,Personal Auto,Four-Door Car,60.036683,12/27/1995,TRUE
GJ59592,California,F,Bachelor,53188966%,25134,67,12/30/1899,Corporate Auto,Four-Door Car,321.6,9/13/1996,FALSE
FY56083,Oregon,M,Bachelor,47197622%,37057,61,1/1/2000,Personal Auto,Four-Door Car,47.53101,12/14/1995,TRUE
UA94723,Oregon,F,High School or Below,44280316%,58577,110,12/30/1899,Personal Auto,SUV,303.872752,8/26/1996,FALSE
FW91032,California,M,High School or Below,58791761%,85857,73,12/30/1899,Corporate Auto,Four-Door Car,100.620067,2/5/1996,TRUE
DE34457,Oregon,F,Doctor,94169085%,70602,116,12/30/1899,Personal Auto,SUV,481.339891,2/20/1997,FALSE
HD32044,Oregon,F,Master,82881556%,33816,106,2/1/2000,Corporate Auto,Four-Door Car,508.8,3/19/1997,TRUE
HH30454,Oregon,M,Bachelor,326548383%,0,153,12/30/1899,Personal Auto,SUV,1101.6,11/2/1998,FALSE
AH84063,Oregon,F,College,47194501%,89642,121,4/1/2000,Corporate Auto,SUV,86.320022,1/22/1996,TRUE
QA17596,California,F,Bachelor,39034748%,60068,98,12/30/1899,Personal Auto,Two-Door Car,470.4,2/9/1997,FALSE
XI41052,California,F,Bachelor,54572597%,50044,139,12/30/1899,Personal Auto,SUV,667.2,8/25/1997,TRUE
DI30528,California,F,Master,27253564%,36650,69,1/1/2000,Personal Auto,Four-Door Car,56.60333,12/23/1995,FALSE
SC66359,Arizona,F,College,44339737%,50653,110,12/30/1899,Corporate Auto,SUV,262.865172,7/16/1996,TRUE
EN61670,Arizona,F,Doctor,53324627%,68931,66,12/30/1899,Personal Auto,Four-Door Car,309.577946,9/1/1996,FALSE
DQ10761,Oregon,M,Bachelor,23150950%,0,73,1/1/2000,Corporate Auto,Four-Door Car,350.4,10/12/1996,TRUE
BQ51587,California,F,College,54119537%,0,73,12/30/1899,Personal Auto,Four-Door Car,365.364581,10/27/1996,FALSE
JE21522,California,M,Bachelor,95873323%,39266,80,12/30/1899,Personal Auto,Four-Door Car,384,11/15/1996,TRUE
WS47147,California,M,College,221035072%,0,102,12/30/1899,Personal Auto,SUV,489.6,2/28/1997,FALSE
ZA64638,Nevada,F,High School or Below,97649453%,0,98,1/1/2000,Personal Auto,Four-Door Car,705.6,10/2/1997,TRUE
EW38459,Nevada,F,Bachelor,25671515%,40864,65,12/30/1899,Corporate Auto,Four-Door Car,9.51528,11/6/1995,FALSE
QW87316,Oregon,F,College,26506228%,39035,68,12/30/1899,Personal Auto,Four-Door Car,244.564334,6/28/1996,TRUE
IC43478,California,M,Bachelor,112643633%,34923,98,12/30/1899,Personal Auto,Two-Door Car,639.105556,7/28/1997,FALSE
TE34064,California,M,High School or Below,21685235%,0,63,12/30/1899,Personal Auto,Four-Door Car,453.6,1/23/1997,TRUE
WU60905,California,F,High School or Below,86106675%,0,111,12/30/1899,Corporate Auto,SUV,532.8,4/12/1997,FALSE
YM18992,California,F,College,28346462%,24506,71,12/30/1899,Personal Auto,Two-Door Car,511.2,3/22/1997,TRUE
PD55753,Oregon,M,High School or Below,89301397%,0,82,12/30/1899,Personal Auto,Four-Door Car,554.522969,5/4/1997,FALSE
KU56006,Arizona,F,College,55363870%,52220,70,1/1/2000,Personal Auto,Four-Door Car,336,9/28/1996,TRUE
MJ69973,Arizona,M,High School or Below,28408543%,0,74,12/30/1899,Personal Auto,Two-Door Car,402.449823,12/3/1996,FALSE
TW43626,California,M,College,80828810%,53554,67,12/30/1899,Personal Auto,Four-Door Car,327.020539,9/19/1996,TRUE
XX84133,California,M,Bachelor,52547343%,34476,67,1/1/2000,Corporate Auto,Four-Door Car,5.3953,11/2/1995,FALSE
ZW84453,Arizona,F,Bachelor,51162376%,0,70,12/30/1899,Personal Auto,Four-Door Car,131.401291,3/7/1996,TRUE
HO29524,California,M,College,30346470%,68205,76,12/30/1899,Personal Auto,Two-Door Car,99.382943,2/4/1996,FALSE
VE89726,California,female,High School or Below,80248999%,0,119,1/1/2000,Personal Auto,SUV,856.8,3/2/1998,TRUE
GE87503,California,M,High School or Below,182111432%,53690,154,12/30/1899,Personal Auto,SUV,739.2,11/5/1997,FALSE
PX90263,Oregon,M,High School or Below,51215633%,0,72,12/30/1899,Personal Auto,Four-Door Car,518.4,3/29/1997,TRUE
NI17718,California,female,High School or Below,21501786%,0,61,12/30/1899,Personal Auto,Four-Door Car,292.8,8/15/1996,FALSE
FY32213,California,female,High School or Below,55953899%,74454,71,12/30/1899,Personal Auto,Four-Door Car,340.8,10/2/1996,TRUE
RZ13254,Nevada,female,Bachelor,75628240%,0,73,12/30/1899,Personal Auto,Four-Door Car,350.4,10/12/1996,FALSE
GN45013,Oregon,M,High School or Below,53858532%,29664,71,12/30/1899,Personal Auto,Four-Door Car,340.8,10/2/1996,TRUE
NM39588,Washington,F,Doctor,26780583%,72450,66,12/30/1899,Corporate Auto,Four-Door Car,84.218363,1/20/1996,FALSE
KU84464,Nevada,female,Bachelor,94225679%,47272,79,3/1/2000,Personal Auto,Four-Door Car,64.546877,12/31/1995,TRUE
YH43527,Oregon,female,College,36058603%,21585,92,12/30/1899,Corporate Auto,Four-Door Car,441.6,1/11/1997,FALSE
RO30676,California,female,College,77625906%,23827,106,2/1/2000,Personal Auto,Four-Door Car,37.910623,12/4/1995,TRUE
QL59704,Arizona,female,College,234449005%,69906,74,2/1/2000,Corporate Auto,Four-Door Car,202.860399,5/17/1996,FALSE
QH19450,California,female,High School or Below,25581782%,0,72,12/30/1899,Corporate Auto,Four-Door Car,345.6,10/7/1996,TRUE
SA54664,Washington,M,Master,26543810%,73196,66,1/1/2000,Personal Auto,Four-Door Car,85.809817,1/21/1996,FALSE
CI38330,Washington,M,Bachelor,25497861%,72217,6464,12/30/1899,Personal Auto,Four-Door Car,91.146661,1/27/1996,TRUE
WB38524,California,M,High School or Below,29695933%,46131,74,12/30/1899,Personal Auto,Two-Door Car,355.2,10/17/1996,FALSE
CE56187,Oregon,female,Master,43631246%,54514,109,3/1/2000,Personal Auto,SUV,286.234931,8/9/1996,TRUE
JL19416,California,female,High School or Below,58843086%,0,161,12/30/1899,Personal Auto,SUV,1159.2,12/30/1998,FALSE
JZ61422,Nevada,female,College,52721916%,96668,66,12/30/1899,Personal Auto,Four-Door Car,316.8,9/8/1996,TRUE
LA13377,California,M,Doctor,55098957%,78879,69,1/1/2000,Personal Auto,Four-Door Car,466.570791,2/5/1997,FALSE
NC99948,Nevada,M,College,163136835%,0,69,12/30/1899,Personal Auto,Four-Door Car,331.2,9/23/1996,TRUE
QD34785,Arizona,female,Bachelor,56780502%,0,76,12/30/1899,Personal Auto,Four-Door Car,364.8,10/26/1996,FALSE
RO26085,California,female,Bachelor,121012088%,0,112,12/30/1899,Personal Auto,Sports Car,1252.406235,4/2/1999,TRUE
ES57969,Oregon,M,Bachelor,24535708%,29735,69,12/30/1899,Personal Auto,Four-Door Car,331.2,9/23/1996,FALSE
JK55587,California,M,High School or Below,50756627%,23082,65,12/30/1899,Special Auto,Four-Door Car,312,9/4/1996,TRUE
RN97635,Arizona,M,Bachelor,32149794%,53984,80,12/30/1899,Corporate Auto,Four-Door Car,421.484456,12/22/1996,FALSE
BI76326,California,female,College,122753431%,52135,156,12/30/1899,Personal Auto,SUV,430.505942,12/31/1996,TRUE
JA34909,California,female,College,27222107%,17576,71,12/30/1899,Corporate Auto,Four-Door Car,398.502948,11/29/1996,FALSE
OJ90342,Oregon,female,Bachelor,24574409%,29486,62,12/30/1899,Personal Auto,Four-Door Car,7.646763,11/4/1995,TRUE
CM88932,Oregon,female,Master,35548453%,58557,88,12/30/1899,Corporate Auto,Four-Door Car,55.510526,12/22/1995,FALSE
JJ97525,California,M,Bachelor,49295497%,25632,63,12/30/1899,Personal Auto,Two-Door Car,351.270869,10/13/1996,TRUE
XV21647,California,female,High School or Below,80364503%,0,112,12/30/1899,Personal Auto,Sports Car,806.4,1/11/1998,FALSE
MC83487,Arizona,M,Bachelor,42769153%,18768,68,3/1/2000,Corporate Auto,Four-Door Car,647.454583,8/5/1997,TRUE
BL90769,California,female,Bachelor,334733495%,33190,106,12/30/1899,Personal Auto,SUV,508.8,3/19/1997,FALSE
CR57148,Oregon,female,Master,59605814%,47945,74,12/30/1899,Personal Auto,Two-Door Car,128.43823,3/4/1996,TRUE
CP85232,Arizona,M,College,447954694%,58778,126,12/30/1899,Special Auto,SUV,302.033971,8/25/1996,FALSE
YL74732,California,female,High School or Below,38321181%,15192,100,12/30/1899,Personal Auto,SUV,480,2/19/1997,TRUE
FG16766,California,female,Bachelor,68379326%,51859,171,12/30/1899,Personal Auto,SUV,1003.160633,7/27/1998,FALSE
NV55438,Nevada,female,High School or Below,52852682%,23422,72,12/30/1899,Personal Auto,Two-Door Car,518.4,3/29/1997,TRUE
RM10880,California,female,College,30965112%,21604,79,12/30/1899,Corporate Auto,Four-Door Car,379.2,11/10/1996,FALSE
GL56175,Arizona,M,College,35897107%,79298,90,12/30/1899,Personal Auto,Four-Door Car,244.362072,6/28/1996,TRUE
UK52289,Arizona,female,Bachelor,25824085%,76731,64,12/30/1899,Special Auto,Four-Door Car,201.455005,5/16/1996,FALSE
OT85112,Washington,M,College,34039194%,38460,88,1/1/2000,Personal Auto,Four-Door Car,91.55098,1/27/1996,TRUE
BC62782,Arizona,F,College,135756760%,48534,115,1/1/2000,Personal Auto,SUV,552,5/2/1997,FALSE
TI19722,Washington,M,Doctor,34361343%,30817,88,12/30/1899,Corporate Auto,Four-Door Car,91.834668,1/27/1996,TRUE
JP30654,Oregon,F,College,286858279%,48412,104,12/30/1899,Personal Auto,SUV,707.430832,10/4/1997,FALSE
UM45563,Washington,M,Bachelor,45026797%,68798,114,12/30/1899,Personal Auto,SUV,92.915251,1/28/1996,TRUE
EN60878,Oregon,M,Bachelor,61831115%,23712,85,12/30/1899,Personal Auto,Four-Door Car,376.126419,11/7/1996,FALSE
JF36291,California,M,College,38736470%,28142,105,12/30/1899,Personal Auto,Sports Car,701.708239,9/28/1997,TRUE
BK59444,California,F,Master,189293306%,72196,68,12/30/1899,Personal Auto,Four-Door Car,152.184244,3/28/1996,FALSE
MK70700,California,M,Master,55532958%,68197,69,12/30/1899,Personal Auto,Four-Door Car,176.819414,4/21/1996,TRUE
IW71076,California,M,Bachelor,50112592%,75248,63,12/30/1899,Corporate Auto,Four-Door Car,104.454624,2/9/1996,FALSE
AP98768,California,F,College,104424463%,0,98,12/30/1899,Personal Auto,Four-Door Car,941.718054,5/26/1998,TRUE
OM24164,Nevada,M,Bachelor,21996178%,0,65,1/1/2000,Personal Auto,Two-Door Car,468,2/7/1997,FALSE
HR85211,Washington,female,Master,51231709%,89879,63,12/30/1899,Personal Auto,Two-Door Car,94.030308,1/30/1996,TRUE
VC87846,Oregon,M,High School or Below,74843105%,46998,96,12/30/1899,Corporate Auto,Four-Door Car,460.8,1/30/1997,FALSE
ZM92052,Oregon,M,Bachelor,26130231%,57099,67,12/30/1899,Personal Auto,Two-Door Car,67.859881,1/3/1996,TRUE
ON73702,Arizona,F,Bachelor,90806397%,33897,114,12/30/1899,Corporate Auto,SUV,539.843003,4/19/1997,FALSE
QQ90441,Nevada,F,High School or Below,137709762%,59207,116,12/30/1899,Personal Auto,Four-Door Car,556.8,5/6/1997,TRUE
HU35721,Oregon,M,High School or Below,28768229%,40171,73,12/30/1899,Personal Auto,Four-Door Car,350.4,10/12/1996,FALSE
YP47665,Washington,M,Doctor,54089115%,80192,67,12/30/1899,Personal Auto,Four-Door Car,95.193157,1/31/1996,TRUE
FU99476,Washington,M,High School or Below,67703068%,74422,85,1/1/2000,Personal Auto,Four-Door Car,95.338505,1/31/1996,FALSE
AG85615,Oregon,M,College,241438756%,0,87,12/30/1899,Special Auto,Four-Door Car,626.4,7/15/1997,TRUE
OY74069,Arizona,F,College,35380595%,0,67,5/1/2000,Personal Auto,Four-Door Car,321.6,9/13/1996,FALSE
DJ91267,Nevada,F,Bachelor,290912394%,34226,244,12/30/1899,Personal Auto,Luxury SUV,494.395024,3/5/1997,TRUE
KB72438,California,F,High School or Below,198342012%,65989,123,1/1/2000,Personal Auto,SUV,115.545086,2/20/1996,FALSE
TR67616,Oregon,M,High School or Below,47313670%,30686,61,12/30/1899,Corporate Auto,Four-Door Car,19.938981,11/16/1995,TRUE
GF65731,California,F,Master,355378460%,0,113,12/30/1899,Personal Auto,Sports Car,799.926741,1/4/1998,FALSE
HB67642,Arizona,F,High School or Below,346113790%,20090,109,12/30/1899,Personal Auto,Sports Car,523.2,4/3/1997,TRUE
DP84567,California,M,High School or Below,202163088%,0,183,12/30/1899,Personal Auto,Luxury SUV,878.4,3/24/1998,FALSE
VV77534,Oregon,M,College,139765193%,77094,176,12/30/1899,Personal Auto,SUV,444.470676,1/14/1997,TRUE
GL67540,California,F,College,59040882%,97413,73,12/30/1899,Personal Auto,Four-Door Car,268.819985,7/22/1996,FALSE
SV50502,Oregon,F,Master,55958350%,79189,69,12/30/1899,Corporate Auto,Four-Door Car,331.2,9/23/1996,TRUE
UK59698,California,F,High School or Below,22943036%,0,62,12/30/1899,Personal Auto,Two-Door Car,297.6,8/20/1996,FALSE
OA57352,Arizona,F,College,62739119%,18577,86,12/30/1899,Personal Auto,Four-Door Car,412.8,12/13/1996,TRUE
ZF84449,Oregon,F,College,37267280%,0,112,1/1/2000,Special Auto,Sports Car,806.4,1/11/1998,FALSE
AX86150,Washington,M,High School or Below,26567131%,62777,67,12/30/1899,Personal Auto,Two-Door Car,101.288069,2/6/1996,TRUE
HG39060,Oregon,Male,Bachelor,51106808%,0,74,12/30/1899,Corporate Auto,Four-Door Car,532.8,4/12/1997,FALSE
EM29359,Nevada,Male,College,71265965%,17483,183,12/30/1899,Personal Auto,Luxury Car,1317.6,6/6/1999,TRUE
SF57173,Oregon,Male,Master,46016341%,84394,114,12/30/1899,Personal Auto,SUV,691.412378,9/18/1997,FALSE
OT47603,Oregon,Male,College,91552397%,0,127,12/30/1899,Personal Auto,Sports Car,804.811859,1/9/1998,TRUE
SW31412,Oregon,F,College,148080562%,41440,62,1/1/2000,Personal Auto,Four-Door Car,297.6,8/20/1996,FALSE
JS36322,Arizona,Male,High School or Below,89016784%,0,136,1/1/2000,Personal Auto,Sports Car,1090.86434,10/22/1998,TRUE
RE81445,Oregon,F,College,57345982%,98132,71,12/30/1899,Personal Auto,Two-Door Car,50.587035,12/17/1995,FALSE
RM24280,Oregon,F,High School or Below,41776970%,0,112,12/30/1899,Personal Auto,Four-Door Car,537.6,4/17/1997,TRUE
LC25393,California,Male,Bachelor,277762891%,88220,230,12/30/1899,Personal Auto,Luxury Car,151.528482,3/27/1996,FALSE
UX38930,Arizona,F,Master,103643475%,58327,129,12/30/1899,Personal Auto,SUV,347.075948,10/9/1996,TRUE
HD95496,Oregon,Male,Master,78519014%,25950,66,12/30/1899,Personal Auto,Two-Door Car,271.697529,7/25/1996,FALSE
RX24650,Oregon,Male,High School or Below,47729438%,20993,133,12/30/1899,Corporate Auto,SUV,638.4,7/27/1997,TRUE
DW19309,Oregon,Male,High School or Below,142265049%,65726,177,12/30/1899,Corporate Auto,SUV,849.6,2/23/1998,FALSE
MT41386,Washington,M,Bachelors,28754324%,84768,72,12/30/1899,Personal Auto,Two-Door Car,110.484661,2/15/1996,TRUE
WZ40465,Washington,F,Bachelor,50412996%,36234,63,12/30/1899,Personal Auto,Four-Door Car,113.534474,2/18/1996,FALSE
DB42794,California,Male,College,43629312%,58842,110,12/30/1899,Personal Auto,Four-Door Car,528,4/8/1997,TRUE
JB50798,Oregon,F,Master,96245244%,25629,124,2/1/2000,Corporate Auto,Sports Car,595.2,6/14/1997,FALSE
IP69763,Washington,F,College,219144055%,77311,181,12/30/1899,Personal Auto,SUV,113.609508,2/18/1996,TRUE
TE35785,California,Male,Doctor,69484222%,0,196,2/1/2000,Personal Auto,Luxury SUV,1337.063487,6/26/1999,FALSE
